fold,split,task_id,impl_index,similarity,distance,distance_norm
fold_0,test,BigCodeBench/51,2,0.9939466,379,0.5338028169
fold_0,test,BigCodeBench/51,3,0.997511,351,0.4943661972
fold_0,test,BigCodeBench/951,1,0.9948144,420,0.6008583691
fold_0,test,BigCodeBench/951,2,0.99479127,330,0.4721030043
fold_0,test,BigCodeBench/951,3,0.9917244,442,0.6323319027
fold_0,test,BigCodeBench/476,1,0.96747875,340,1.100323625
fold_0,test,BigCodeBench/476,2,0.97446376,301,0.9741100324
fold_0,test,BigCodeBench/476,3,0.96478736,374,1.210355987
fold_0,test,BigCodeBench/188,1,0.9764359,770,0.7051282051
fold_0,test,BigCodeBench/188,2,0.98027915,591,0.5412087912
fold_0,test,BigCodeBench/188,3,0.98947823,643,0.5888278388
fold_0,test,BigCodeBench/528,1,0.9922797,521,0.731741573
fold_0,test,BigCodeBench/528,2,0.9795599,909,1.276685393
fold_0,test,BigCodeBench/528,3,0.99504507,418,0.5870786517
fold_0,test,BigCodeBench/582,1,0.996163,360,0.6654343808
fold_0,test,BigCodeBench/582,2,0.99059844,427,0.7892791128
fold_0,test,BigCodeBench/582,3,0.9941267,380,0.7024029575
fold_0,test,BigCodeBench/348,1,0.94016296,1380,3.780821918
fold_0,test,BigCodeBench/348,2,0.949028,436,1.194520548
fold_0,test,BigCodeBench/348,3,0.97542816,328,0.898630137
