fold,split,task_id,distances,distances_norm
fold_0,test,BigCodeBench/383,"[481, 366, 612]","[0.8651079136690647, 0.658273381294964, 1.1007194244604317]"
fold_0,test,BigCodeBench/17,"[286, 256, 192]","[0.5088967971530249, 0.4555160142348754, 0.3416370106761566]"
fold_0,test,BigCodeBench/1085,"[267, 332, 664]","[0.5415821501014199, 0.6734279918864098, 1.3468559837728196]"
fold_0,test,BigCodeBench/917,"[420, 434, 455]","[0.6122448979591837, 0.6326530612244898, 0.6632653061224489]"
fold_0,test,BigCodeBench/1104,"[401, 410, 337]","[0.8586723768736617, 0.8779443254817987, 0.721627408993576]"
fold_0,test,BigCodeBench/511,"[638, 644, 457]","[0.9522388059701492, 0.9611940298507463, 0.682089552238806]"
fold_0,test,BigCodeBench/291,"[540, 734, 400]","[1.8, 2.4466666666666668, 1.3333333333333333]"
fold_0,test,BigCodeBench/798,"[322, 335, 347]","[0.5679012345679012, 0.5908289241622575, 0.6119929453262787]"
fold_0,test,BigCodeBench/607,"[373, 491, 391]","[0.7659137577002053, 1.0082135523613962, 0.8028747433264887]"
fold_0,test,BigCodeBench/365,"[138, 150, 151]","[0.28870292887029286, 0.3138075313807531, 0.3158995815899582]"
fold_0,test,BigCodeBench/256,"[313, 423, 314]","[0.4118421052631579, 0.5565789473684211, 0.4131578947368421]"
fold_0,test,BigCodeBench/857,"[669, 425, 520]","[1.0, 0.6352765321375187, 0.7772795216741405]"
fold_0,test,BigCodeBench/441,"[398, 463, 283]","[1.0, 1.1633165829145728, 0.7110552763819096]"
fold_0,test,BigCodeBench/215,"[919, 732, 872]","[2.0153508771929824, 1.605263157894737, 1.912280701754386]"
fold_0,test,BigCodeBench/1036,"[291, 392, 360]","[0.4794069192751236, 0.6457990115321252, 0.5930807248764415]"
fold_0,test,BigCodeBench/168,"[401, 631, 264]","[0.8477801268498943, 1.3340380549682875, 0.5581395348837209]"
fold_0,test,BigCodeBench/775,"[212, 231, 307]","[0.3940520446096654, 0.42936802973977695, 0.570631970260223]"
fold_0,test,BigCodeBench/680,"[169, 195, 167]","[0.4412532637075718, 0.5091383812010444, 0.4360313315926893]"
fold_0,test,BigCodeBench/1034,"[747, 694, 589]","[1.3221238938053097, 1.2283185840707964, 1.0424778761061948]"
fold_0,test,BigCodeBench/91,"[236, 232, 271]","[0.400679117147708, 0.3938879456706282, 0.4601018675721562]"
fold_0,test,BigCodeBench/284,"[432, 424, 301]","[1.3980582524271845, 1.372168284789644, 0.9741100323624595]"
fold_0,test,BigCodeBench/75,"[380, 600, 467]","[0.3414195867026056, 0.5390835579514824, 0.4195867026055705]"
fold_0,test,BigCodeBench/531,"[389, 477, 415]","[0.48084054388133496, 0.5896168108776267, 0.5129789864029666]"
fold_0,test,BigCodeBench/922,"[259, 370, 78]","[0.19923076923076924, 0.2846153846153846, 0.06]"
fold_0,test,BigCodeBench/82,"[1824, 979, 692]","[1.0, 0.5367324561403509, 0.3793859649122807]"
fold_0,test,BigCodeBench/102,"[167, 259, 168]","[0.39952153110047844, 0.6196172248803827, 0.4019138755980861]"
fold_0,test,BigCodeBench/882,"[410, 543, 308]","[0.7321428571428571, 0.9696428571428571, 0.55]"
fold_0,test,BigCodeBench/101,"[610, 473, 604]","[0.599803343166175, 0.46509341199606685, 0.5939036381514258]"
fold_0,test,BigCodeBench/940,"[41, 48, 115]","[0.16532258064516128, 0.1935483870967742, 0.4637096774193548]"
fold_0,test,BigCodeBench/244,"[259, 297, 292]","[0.7295774647887324, 0.8366197183098592, 0.8225352112676056]"
fold_0,test,BigCodeBench/354,"[478, 490, 618]","[1.0084388185654007, 1.0337552742616034, 1.3037974683544304]"
fold_0,test,BigCodeBench/10,"[199, 519, 176]","[0.39250493096646943, 1.0236686390532543, 0.34714003944773175]"
