fold,split,task_id,impl_index,distance,distance_norm
fold_0,test,BigCodeBench/66,1,204,0.6845637583892618
fold_0,test,BigCodeBench/66,2,319,1.070469798657718
fold_0,test,BigCodeBench/66,3,452,1.516778523489933
fold_0,test,BigCodeBench/469,1,342,0.43236409608091025
fold_0,test,BigCodeBench/469,2,304,0.3843236409608091
fold_0,test,BigCodeBench/469,3,367,0.4639696586599241
fold_0,test,BigCodeBench/635,1,863,0.6378418329637842
fold_0,test,BigCodeBench/635,2,668,0.49371766444937176
fold_0,test,BigCodeBench/635,3,824,0.6090169992609017
fold_0,test,BigCodeBench/329,1,357,1.0593471810089021
fold_0,test,BigCodeBench/329,2,451,1.3382789317507418
fold_0,test,BigCodeBench/329,3,282,0.8367952522255193
fold_0,test,BigCodeBench/773,1,291,0.5150442477876106
fold_0,test,BigCodeBench/773,2,363,0.6424778761061947
fold_0,test,BigCodeBench/773,3,197,0.3486725663716814
fold_0,test,BigCodeBench/229,1,298,0.38402061855670105
fold_0,test,BigCodeBench/229,2,293,0.37757731958762886
fold_0,test,BigCodeBench/229,3,301,0.38788659793814434
fold_0,test,BigCodeBench/726,1,287,0.5929752066115702
fold_0,test,BigCodeBench/726,2,189,0.390495867768595
fold_0,test,BigCodeBench/726,3,175,0.3615702479338843
fold_0,test,BigCodeBench/51,1,364,0.5126760563380282
fold_0,test,BigCodeBench/51,2,379,0.5338028169014084
fold_0,test,BigCodeBench/51,3,351,0.4943661971830986
fold_0,test,BigCodeBench/951,1,420,0.6008583690987125
fold_0,test,BigCodeBench/951,2,330,0.4721030042918455
fold_0,test,BigCodeBench/951,3,442,0.6323319027181689
fold_0,test,BigCodeBench/476,1,340,1.1003236245954693
fold_0,test,BigCodeBench/476,2,301,0.9741100323624595
fold_0,test,BigCodeBench/476,3,374,1.2103559870550162
fold_0,test,BigCodeBench/188,1,770,0.7051282051282052
fold_0,test,BigCodeBench/188,2,591,0.5412087912087912
fold_0,test,BigCodeBench/188,3,643,0.5888278388278388
fold_0,test,BigCodeBench/528,1,521,0.7317415730337079
fold_0,test,BigCodeBench/528,2,909,1.276685393258427
fold_0,test,BigCodeBench/528,3,418,0.5870786516853933
fold_0,test,BigCodeBench/582,1,360,0.6654343807763401
fold_0,test,BigCodeBench/582,2,427,0.789279112754159
